college,state_code,state_name,region,division,public_or_private,number_applications_received,number_applications_accepted,number_applications_not_accepted,percentage_applications_accepted,number_new_students_enrolled,percentage_new_students_from_top_10,percentage_new_students_from_top_25,number_ft_undergrad,number_pt_undergrad,in_state_tuition,out_of_state_tuition,room,board,additional_fees,estimated_book_costs,estimated_personal_spending,percentage_faculty_with_phd,student_faculty_ratio,graduation_rate
University of Colorado at Denver,CO,Colorado,West,Mountain,public,1199.0,562.0,637.0,46.87,261.0,30.0,74.0,3805.0,2728.0,1828.0,9244.0,,,240.0,520.0,2138.0,89.0,18.1,24.0
Colorado Christian University,CO,Colorado,West,Mountain,private,735.0,583.0,152.0,79.32,310.0,9.0,,1001.0,65.0,6720.0,6720.0,3480.0,,550.0,400.0,3725.0,56.0,8.6,
Albertus Magnus College,CT,Connecticut,Northeast,New England,private,353.0,340.0,13.0,96.32,103.0,17.0,45.0,416.0,230.0,13290.0,13290.0,5720.0,,200.0,500.0,1500.0,90.0,11.5,63.0
Central Connecticut State University,CT,Connecticut,Northeast,New England,public,4158.0,2532.0,1626.0,60.89,902.0,6.0,24.0,6394.0,3881.0,1842.0,5962.0,2384.0,2060.0,1298.0,500.0,985.0,69.0,16.7,49.0
Connecticut College,CT,Connecticut,Northeast,New England,private,3035.0,1546.0,1489.0,50.94,438.0,42.0,93.0,1630.0,232.0,18740.0,18740.0,2935.0,3365.0,210.0,600.0,500.0,86.0,10.7,91.0
Western Connecticut State University,CT,Connecticut,Northeast,New England,public,2486.0,1503.0,983.0,60.46,528.0,7.0,23.0,2818.0,1861.0,1842.0,5962.0,2174.0,1762.0,1218.0,,,69.0,15.5,
Fairfield University,CT,Connecticut,Northeast,New England,private,4784.0,3346.0,1438.0,69.94,781.0,30.0,66.0,2984.0,1037.0,15000.0,15000.0,6200.0,,310.0,700.0,1100.0,86.0,15.1,94.0
University of New Haven,CT,Connecticut,Northeast,New England,private,1651.0,1412.0,239.0,85.52,336.0,,11.0,1411.0,1914.0,10600.0,10600.0,3120.0,1900.0,200.0,500.0,,79.0,15.6,79.0
Teikyo Post University,CT,Connecticut,Northeast,New England,private,345.0,297.0,48.0,86.09,92.0,13.0,26.0,570.0,1273.0,11300.0,11300.0,5400.0,,250.0,400.0,1000.0,30.0,12.2,
Quinnipiac College,CT,Connecticut,Northeast,New England,private,3712.0,2153.0,1559.0,58.0,806.0,17.0,45.0,2677.0,714.0,12030.0,12030.0,6140.0,,590.0,1000.0,500.0,63.0,12.0,86.0
Sacred Heart University,CT,Connecticut,Northeast,New England,private,2307.0,1896.0,411.0,82.18,509.0,19.0,51.0,1707.0,1889.0,11070.0,11070.0,4090.0,1690.0,320.0,400.0,600.0,71.0,14.8,82.0
Southern Connecticut State University,CT,Connecticut,Northeast,New England,public,3852.0,2652.0,1200.0,68.85,1044.0,4.0,14.0,5892.0,2478.0,1842.0,5962.0,2180.0,2616.0,1190.0,700.0,,62.0,15.8,45.0
Saint Joseph College,CT,Connecticut,Northeast,New England,private,292.0,241.0,51.0,82.53,96.0,20.0,52.0,543.0,712.0,12200.0,12200.0,2200.0,2400.0,200.0,650.0,950.0,87.0,11.2,76.0
Trinity College,CT,Connecticut,Northeast,New England,private,3058.0,1798.0,1260.0,58.8,478.0,46.0,84.0,1737.0,244.0,18810.0,18810.0,3540.0,2150.0,780.0,500.0,680.0,91.0,10.4,91.0
United States Coast Guard Academy,CT,Connecticut,Northeast,New England,public,5099.0,466.0,4633.0,9.14,277.0,72.0,97.0,930.0,,,,,,,,,31.0,8.3,71.0
University of Bridgeport,CT,Connecticut,Northeast,New England,private,598.0,441.0,157.0,73.75,153.0,16.0,36.0,527.0,312.0,12500.0,12500.0,3700.0,3110.0,624.0,500.0,500.0,76.0,7.9,51.0
University of Hartford,CT,Connecticut,Northeast,New England,private,5081.0,4040.0,1041.0,79.51,1194.0,11.0,26.0,3768.0,1415.0,14220.0,14220.0,2300.0,3700.0,690.0,500.0,1440.0,61.0,10.7,66.0
Wesleyan University,CT,Connecticut,Northeast,New England,private,4772.0,1973.0,2799.0,41.35,712.0,60.0,86.0,2714.0,27.0,19130.0,19130.0,3290.0,2310.0,660.0,1400.0,1400.0,90.0,12.1,92.0
Eastern Connecticut State University,CT,Connecticut,Northeast,New England,public,2172.0,1493.0,679.0,68.74,564.0,14.0,50.0,2766.0,1531.0,1842.0,5962.0,2436.0,1880.0,1513.0,650.0,500.0,71.0,16.9,50.0
Yale University,CT,Connecticut,Northeast,New England,private,10705.0,2453.0,8252.0,22.91,1317.0,95.0,99.0,5217.0,83.0,19840.0,19840.0,3040.0,3470.0,,630.0,2115.0,96.0,5.8,99.0
University of Connecticut at Storrs,CT,Connecticut,Northeast,New England,public,9735.0,7187.0,2548.0,73.83,2064.0,23.0,63.0,12478.0,1660.0,3824.0,11656.0,2552.0,2520.0,888.0,700.0,2300.0,89.0,16.0,71.0
American University,DC,District of Columbia,South,South Atlantic,private,4613.0,3587.0,1026.0,77.76,1048.0,35.0,77.0,4545.0,873.0,15934.0,15934.0,2440.0,3960.0,210.0,450.0,800.0,,13.6,69.0
Catholic University of America,DC,District of Columbia,South,South Atlantic,private,1754.0,1465.0,289.0,83.52,505.0,24.0,49.0,2159.0,211.0,13712.0,13712.0,3622.0,2786.0,460.0,526.0,1100.0,90.0,9.3,75.0
Gallaudet University,DC,District of Columbia,South,South Atlantic,private,825.0,645.0,180.0,78.18,392.0,,,1541.0,221.0,4700.0,4700.0,3100.0,2300.0,330.0,663.0,2343.0,58.0,6.6,
George Washington University,DC,District of Columbia,South,South Atlantic,private,7875.0,5062.0,2813.0,64.28,1492.0,38.0,71.0,5471.0,1470.0,17450.0,17450.0,3998.0,2330.0,720.0,700.0,950.0,92.0,7.6,72.0
Georgetown University,DC,District of Columbia,South,South Atlantic,private,11115.0,2881.0,8234.0,25.92,1390.0,71.0,93.0,5881.0,406.0,18300.0,18300.0,2590.0,4541.0,156.0,670.0,1700.0,91.0,7.2,95.0
Howard University,DC,District of Columbia,South,South Atlantic,private,9776.0,3164.0,6612.0,32.36,1666.0,,,6705.0,874.0,7128.0,7128.0,2050.0,1700.0,615.0,300.0,,78.0,7.5,46.0
Mount Vernon College,DC,District of Columbia,South,South Atlantic,private,149.0,70.0,79.0,46.98,61.0,15.0,35.0,203.0,138.0,13780.0,13780.0,3107.0,3808.0,500.0,500.0,500.0,84.0,5.7,
Trinity College,DC,District of Columbia,South,South Atlantic,private,247.0,189.0,58.0,76.52,100.0,19.0,49.0,309.0,639.0,11412.0,11412.0,2900.0,3530.0,150.0,500.0,900.0,89.0,8.3,96.0
Univ. of the District of Columbia,DC,District of Columbia,South,South Atlantic,public,3895.0,3866.0,29.0,99.26,1717.0,,,3658.0,6327.0,974.0,3566.0,,,115.0,1550.0,,51.0,11.7,
Delaware State College,DE,Delaware,South,South Atlantic,public,2611.0,1845.0,766.0,70.66,764.0,,,,,4878.0,4878.0,2210.0,1600.0,110.0,,,60.0,13.7,26.0
Goldey Beacom College,DE,Delaware,South,South Atlantic,private,633.0,468.0,165.0,73.93,284.0,10.0,27.0,823.0,963.0,6120.0,6120.0,,2985.0,,531.0,1830.0,25.0,27.6,36.0
University of Delaware,DE,Delaware,South,South Atlantic,private,14446.0,10516.0,3930.0,72.8,3252.0,22.0,57.0,14130.0,4522.0,3690.0,10220.0,2280.0,1950.0,410.0,530.0,1300.0,82.0,18.3,75.0
Wesley College,DE,Delaware,South,South Atlantic,private,980.0,807.0,173.0,82.35,350.0,10.0,25.0,872.0,448.0,9890.0,9890.0,2450.0,2224.0,405.0,500.0,1350.0,52.0,14.4,84.0
Wilmington College,DE,Delaware,South,South Atlantic,private,1275.0,1275.0,0.0,100.0,635.0,,,615.0,1047.0,5340.0,5340.0,,,50.0,400.0,2000.0,46.0,12.5,56.0
Barry University,FL,Florida,South,South Atlantic,private,990.0,784.0,206.0,79.19,279.0,18.0,45.0,1811.0,3144.0,11290.0,11290.0,5360.0,,240.0,600.0,1800.0,76.0,12.6,72.0
Bethune Cookman College,FL,Florida,South,South Atlantic,private,1646.0,1150.0,496.0,69.87,542.0,12.0,30.0,2128.0,82.0,5188.0,5188.0,1541.0,1855.0,427.0,650.0,2500.0,48.0,13.8,58.0
St. Thomas University,FL,Florida,South,South Atlantic,private,492.0,370.0,122.0,75.2,236.0,10.0,30.0,1125.0,482.0,9600.0,9600.0,,,380.0,600.0,1890.0,,23.2,33.0
Florida Institute of Technology,FL,Florida,South,South Atlantic,private,1947.0,1580.0,367.0,81.15,523.0,39.0,74.0,1863.0,233.0,13900.0,13900.0,1740.0,2400.0,400.0,750.0,1500.0,90.0,10.6,57.0
Clearwater Christian College,FL,Florida,South,South Atlantic,private,161.0,156.0,5.0,96.89,101.0,,,409.0,43.0,5200.0,5200.0,3400.0,,500.0,500.0,400.0,55.0,15.1,
Embry Riddle Aeronautical University,FL,Florida,South,South Atlantic,private,3151.0,2584.0,567.0,82.01,958.0,14.0,40.0,4772.0,856.0,7800.0,7800.0,2050.0,1700.0,80.0,570.0,3020.0,37.0,16.5,44.0
Florida A&M University,FL,Florida,South,South Atlantic,public,4880.0,2899.0,1981.0,59.41,1463.0,,40.0,7931.0,1357.0,1749.0,6651.0,1076.0,1592.0,80.0,600.0,,87.0,11.8,
Florida Atlantic University,FL,Florida,South,South Atlantic,public,3181.0,2089.0,1092.0,65.67,826.0,,,6035.0,6414.0,1800.0,6700.0,1940.0,2120.0,,600.0,2270.0,90.0,15.6,48.0
Florida Memorial College,FL,Florida,South,South Atlantic,private,2400.0,1800.0,600.0,75.0,557.0,,,1312.0,176.0,4160.0,4160.0,1680.0,1510.0,780.0,500.0,1000.0,38.0,17.1,35.0
Eckerd College,FL,Florida,South,South Atlantic,private,1422.0,1109.0,313.0,77.99,366.0,33.0,65.0,1363.0,23.0,15360.0,15360.0,,,250.0,600.0,1000.0,82.0,12.8,59.0
Florida Southern College,FL,Florida,South,South Atlantic,private,1381.0,1040.0,341.0,75.31,374.0,20.0,44.0,1506.0,970.0,8025.0,8025.0,2100.0,2765.0,605.0,400.0,650.0,65.0,17.4,68.0
Florida State University,FL,Florida,South,South Atlantic,public,11651.0,8683.0,2968.0,74.53,3023.0,50.0,90.0,18906.0,3242.0,1780.0,6680.0,1910.0,2150.0,,600.0,1020.0,80.0,23.1,58.0
Jacksonville University,FL,Florida,South,South Atlantic,private,1344.0,1008.0,336.0,75.0,305.0,16.0,34.0,1556.0,517.0,9600.0,9600.0,2020.0,2360.0,480.0,700.0,1400.0,61.0,12.1,
Lynn University,FL,Florida,South,South Atlantic,private,1292.0,956.0,336.0,73.99,315.0,,,1250.0,200.0,13900.0,13900.0,2450.0,3150.0,300.0,400.0,1100.0,69.0,19.0,65.0
Nova Southeastern University,FL,Florida,South,South Atlantic,private,1025.0,770.0,255.0,75.12,257.0,,,1893.0,1220.0,8550.0,8550.0,2880.0,1860.0,250.0,720.0,4029.0,90.0,20.4,23.0
Rollins College,FL,Florida,South,South Atlantic,private,1777.0,1151.0,626.0,64.77,382.0,31.0,55.0,1668.0,1052.0,16425.0,16425.0,2830.0,2390.0,470.0,955.0,750.0,81.0,13.3,90.0
St. Leo College,FL,Florida,South,South Atlantic,private,990.0,683.0,307.0,68.99,201.0,,,3400.0,3731.0,9150.0,9150.0,2340.0,2310.0,826.0,525.0,800.0,47.0,72.4,
Stetson University,FL,Florida,South,South Atlantic,private,1557.0,1227.0,330.0,78.81,489.0,37.0,69.0,1964.0,81.0,12315.0,12315.0,2165.0,2400.0,555.0,600.0,1365.0,85.0,12.5,73.0
University of Florida,FL,Florida,South,South Atlantic,public,12445.0,8836.0,3609.0,71.0,3623.0,54.0,85.0,24470.0,3286.0,1820.0,7090.0,1960.0,2220.0,,630.0,1530.0,88.0,13.4,66.0
University of Miami,FL,Florida,South,South Atlantic,private,7122.0,5386.0,1736.0,75.62,1643.0,42.0,69.0,7760.0,876.0,16500.0,16500.0,3810.0,2716.0,180.0,630.0,1985.0,82.0,5.9,59.0
University of South Florida,FL,Florida,South,South Atlantic,public,7589.0,4676.0,2913.0,61.62,1876.0,29.0,63.0,14770.0,10962.0,1856.0,6760.0,1806.0,1970.0,,500.0,2180.0,84.0,17.0,47.0
University of Tampa,FL,Florida,South,South Atlantic,private,1675.0,1190.0,485.0,71.04,325.0,,,1812.0,374.0,11690.0,11690.0,2016.0,2548.0,640.0,700.0,1000.0,,13.9,
Webber College,FL,Florida,South,South Atlantic,private,280.0,143.0,137.0,51.07,79.0,5.0,27.0,327.0,110.0,5590.0,5590.0,1930.0,970.0,,650.0,1952.0,53.0,15.1,90.0
University of Central Florida,FL,Florida,South,South Atlantic,public,6986.0,2959.0,4027.0,42.36,1918.0,25.0,60.0,12330.0,7152.0,1716.0,6618.0,2410.0,1824.0,95.0,700.0,1600.0,80.0,22.2,46.0
University of West Florida,FL,Florida,South,South Atlantic,public,1558.0,1254.0,304.0,80.49,472.0,20.0,57.0,3754.0,2477.0,1597.0,6172.0,,,,541.0,1387.0,83.0,23.4,53.0
Flagler College,FL,Florida,South,South Atlantic,private,1415.0,714.0,701.0,50.46,338.0,18.0,52.0,1345.0,44.0,5120.0,5120.0,1260.0,1940.0,,500.0,2140.0,52.0,18.1,69.0
Warner Southern College,FL,Florida,South,South Atlantic,private,400.0,280.0,120.0,70.0,134.0,,,397.0,62.0,6200.0,6200.0,1500.0,1770.0,380.0,320.0,,53.0,14.4,42.0
Palm Beach Atlantic College,FL,Florida,South,South Atlantic,private,729.0,625.0,104.0,85.73,349.0,,,1432.0,334.0,7900.0,7900.0,3400.0,,,500.0,500.0,,19.0,38.0
Florida International University,FL,Florida,South,South Atlantic,public,3306.0,2079.0,1227.0,62.89,1071.0,42.0,89.0,10208.0,9310.0,1695.0,6597.0,2494.0,,80.0,800.0,3028.0,81.0,13.9,66.0
University of North Florida,FL,Florida,South,South Atlantic,public,1800.0,1253.0,547.0,69.61,560.0,44.0,85.0,3876.0,3588.0,1732.0,6634.0,,,,600.0,2604.0,82.0,17.8,47.0
Agnes Scott College,GA,Georgia,South,South Atlantic,private,417.0,349.0,68.0,83.69,137.0,60.0,89.0,510.0,63.0,12960.0,12960.0,5450.0,,135.0,450.0,875.0,92.0,7.7,59.0
Albany State College,GA,Georgia,South,South Atlantic,public,1461.0,1097.0,364.0,75.09,580.0,10.0,22.0,2035.0,321.0,1772.0,4535.0,2754.0,,390.0,675.0,763.0,65.0,17.0,62.0
Armstrong State College,GA,Georgia,South,South Atlantic,public,2186.0,1835.0,351.0,83.94,1263.0,,,2796.0,2391.0,2028.0,5604.0,,,,450.0,950.0,45.0,10.5,88.0
Clark Atlanta University,GA,Georgia,South,South Atlantic,private,4502.0,2497.0,2005.0,55.46,790.0,,,2844.0,88.0,7908.0,7908.0,2168.0,2070.0,200.0,600.0,1500.0,63.0,14.9,53.0
Augusta College,GA,Georgia,South,South Atlantic,public,1452.0,1158.0,294.0,79.75,870.0,,,2902.0,1825.0,1422.0,4266.0,,,210.0,495.0,1950.0,65.0,18.9,38.0
Berry College,GA,Georgia,South,South Atlantic,private,1858.0,1221.0,637.0,65.72,480.0,37.0,68.0,1620.0,49.0,8050.0,8050.0,1960.0,1980.0,,350.0,2375.0,80.0,16.3,63.0
Brenau University,GA,Georgia,South,South Atlantic,private,367.0,274.0,93.0,74.66,158.0,12.0,41.0,917.0,479.0,9592.0,9592.0,,,,500.0,700.0,71.0,13.7,49.0
Brewton-Parker College,GA,Georgia,South,South Atlantic,private,1436.0,1228.0,208.0,85.52,1202.0,10.0,26.0,1320.0,822.0,4371.0,4371.0,1320.0,1050.0,130.0,500.0,2000.0,62.0,12.6,18.0
Columbus College,GA,Georgia,South,South Atlantic,public,1348.0,1050.0,298.0,77.89,774.0,,,2873.0,1736.0,1381.0,2763.0,3375.0,,219.0,800.0,300.0,61.0,16.5,32.0
Emory University,GA,Georgia,South,South Atlantic,private,8506.0,4168.0,4338.0,49.0,1236.0,76.0,97.0,5544.0,192.0,17600.0,17600.0,3600.0,2400.0,230.0,600.0,870.0,97.0,5.0,96.0
Fort Valley State College,GA,Georgia,South,South Atlantic,public,2092.0,1474.0,618.0,70.46,649.0,,,1903.0,221.0,1341.0,2682.0,1290.0,1080.0,385.0,,,59.0,13.9,39.0
Georgia Institute of Technology,GA,Georgia,South,South Atlantic,public,7837.0,4527.0,3310.0,57.76,2276.0,89.0,99.0,8528.0,654.0,1899.0,6489.0,4438.0,,444.0,795.0,1164.0,92.0,19.3,70.0
Southern College of Technology,GA,Georgia,South,South Atlantic,public,652.0,503.0,149.0,77.15,297.0,,,2229.0,1283.0,1341.0,4023.0,2004.0,1215.0,207.0,465.0,1600.0,52.0,17.3,36.0
Georgia Southern University,GA,Georgia,South,South Atlantic,public,8388.0,5423.0,2965.0,64.65,3034.0,,,11404.0,1007.0,1808.0,4571.0,2987.0,,,450.0,,60.0,19.7,46.0
Georgia Southwestern College,GA,Georgia,South,South Atlantic,public,860.0,716.0,144.0,83.26,330.0,,,1703.0,473.0,1578.0,4158.0,1395.0,1020.0,,,,50.0,18.1,26.0
Georgia State University,GA,Georgia,South,South Atlantic,public,3793.0,2341.0,1452.0,61.72,1238.0,9.0,24.0,7732.0,9054.0,2154.0,6744.0,2655.0,,246.0,720.0,3450.0,87.0,19.0,34.0
Kennesaw State College,GA,Georgia,South,South Atlantic,public,2402.0,1824.0,578.0,75.94,1161.0,,,5438.0,5556.0,1422.0,2844.0,,,183.0,450.0,1835.0,62.0,19.8,21.0
LaGrange College,GA,Georgia,South,South Atlantic,private,544.0,399.0,145.0,73.35,177.0,15.0,35.0,600.0,363.0,6987.0,6987.0,,,285.0,750.0,1500.0,77.0,12.5,75.0
Mercer University,GA,Georgia,South,South Atlantic,private,2286.0,1668.0,618.0,72.97,564.0,37.0,70.0,2943.0,1260.0,11985.0,11985.0,2160.0,1921.0,,400.0,1500.0,93.0,9.2,91.0
Morehouse College,GA,Georgia,South,South Atlantic,private,3708.0,1678.0,2030.0,45.25,722.0,41.0,66.0,2852.0,153.0,7050.0,7050.0,3140.0,2350.0,1420.0,250.0,600.0,71.0,17.8,83.0
Morris Brown College,GA,Georgia,South,South Atlantic,private,6407.0,1500.0,4907.0,23.41,595.0,,,1752.0,125.0,6770.0,6770.0,4438.0,,966.0,600.0,650.0,49.0,15.7,21.0
North Georgia College,GA,Georgia,South,South Atlantic,public,1612.0,1077.0,535.0,66.81,775.0,,45.0,2023.0,316.0,1382.0,4145.0,2445.0,,294.0,180.0,,60.0,17.5,53.0
Oglethorpe University,GA,Georgia,South,South Atlantic,private,792.0,649.0,143.0,81.94,186.0,56.0,87.0,769.0,377.0,12900.0,12900.0,4340.0,,60.0,600.0,4110.0,91.0,13.1,67.0
Paine College,GA,Georgia,South,South Atlantic,private,1322.0,636.0,686.0,48.11,225.0,,,589.0,97.0,5460.0,5460.0,1704.0,1110.0,300.0,500.0,1505.0,48.0,10.9,27.0
Piedmont College,GA,Georgia,South,South Atlantic,private,663.0,562.0,101.0,84.77,127.0,20.0,40.0,641.0,63.0,5640.0,5640.0,1670.0,1680.0,,600.0,750.0,89.0,13.2,31.0
Savannah State College,GA,Georgia,South,South Atlantic,public,1702.0,1448.0,254.0,85.08,726.0,12.0,39.0,2726.0,472.0,1800.0,3200.0,2145.0,,,,,60.0,19.0,48.0
Shorter College,GA,Georgia,South,South Atlantic,private,540.0,445.0,95.0,82.41,165.0,23.0,70.0,1115.0,111.0,7210.0,7210.0,,,110.0,500.0,2000.0,62.0,13.2,58.0
Spelman College,GA,Georgia,South,South Atlantic,private,3713.0,1237.0,2476.0,33.32,443.0,47.0,83.0,1971.0,107.0,7000.0,7000.0,2565.0,3000.0,1222.0,660.0,2400.0,73.0,12.5,65.0
Toccoa Falls College,GA,Georgia,South,South Atlantic,private,,,,,182.0,18.0,36.0,781.0,82.0,6072.0,6072.0,,,,400.0,3036.0,48.0,16.8,54.0
University of Georgia,GA,Georgia,South,South Atlantic,public,11220.0,7871.0,3349.0,70.15,3320.0,43.0,79.0,19553.0,2748.0,1899.0,5697.0,1770.0,1830.0,453.0,525.0,1755.0,88.0,14.7,63.0
Valdosta State University,GA,Georgia,South,South Atlantic,public,3674.0,3247.0,427.0,88.38,1586.0,,,5982.0,1418.0,1770.0,4617.0,1650.0,1290.0,,600.0,1200.0,67.0,20.0,45.0
Wesleyan College,GA,Georgia,South,South Atlantic,private,305.0,287.0,18.0,94.1,109.0,38.0,,382.0,46.0,11500.0,11500.0,,,460.0,515.0,1374.0,68.0,7.6,52.0
West Georgia College,GA,Georgia,South,South Atlantic,public,3668.0,2604.0,1064.0,70.99,1331.0,,,4538.0,1179.0,1806.0,4650.0,1425.0,1548.0,378.0,490.0,1200.0,59.0,19.2,40.0
Georgia College,GA,Georgia,South,South Atlantic,public,1868.0,1788.0,80.0,95.72,829.0,,,3467.0,1167.0,1694.0,4457.0,1434.0,1305.0,312.0,450.0,500.0,70.0,21.4,52.0
Covenant College,GA,Georgia,South,South Atlantic,private,407.0,317.0,90.0,77.89,181.0,21.0,48.0,468.0,31.0,9700.0,9700.0,1980.0,1764.0,150.0,470.0,1120.0,73.0,19.0,56.0
Savannah Coll. of Art and Design,GA,Georgia,South,South Atlantic,private,1109.0,688.0,421.0,62.04,386.0,20.0,65.0,1897.0,208.0,8325.0,8325.0,3050.0,1950.0,450.0,1200.0,1600.0,14.0,16.1,55.0
Chaminade University of Honolulu,HI,Hawaii,West,Pacific,private,621.0,546.0,75.0,87.92,103.0,,,766.0,1154.0,10600.0,10600.0,2720.0,2770.0,,700.0,800.0,63.0,14.1,
Brigham Young University - Hawaii,HI,Hawaii,West,Pacific,private,1038.0,533.0,505.0,51.35,428.0,21.0,42.0,2008.0,23.0,1780.0,1780.0,,3360.0,,,,64.0,16.8,
University of Hawaii at Manoa,HI,Hawaii,West,Pacific,public,3580.0,2603.0,977.0,72.71,1627.0,36.0,69.0,11028.0,2411.0,1460.0,4460.0,1808.0,1230.0,97.0,687.0,1281.0,85.0,11.8,54.0
Hawaii Pacific University,HI,Hawaii,West,Pacific,private,1827.0,1409.0,418.0,77.12,1169.0,,,4312.0,2302.0,6300.0,6300.0,,,200.0,500.0,,59.0,23.3,
University of Hawaii at Hilo,HI,Hawaii,West,Pacific,public,1499.0,779.0,720.0,51.97,500.0,20.0,54.0,2082.0,871.0,480.0,2920.0,,,50.0,714.0,1277.0,72.0,15.8,31.0
Briar Cliff College,IA,Iowa,Midwest,West North Central,private,392.0,351.0,41.0,89.54,155.0,16.0,44.0,738.0,430.0,10260.0,10260.0,3597.0,,150.0,600.0,1500.0,39.0,13.1,58.0
Buena Vista College,IA,Iowa,Midwest,West North Central,private,860.0,688.0,172.0,80.0,285.0,32.0,70.0,1928.0,442.0,13306.0,13306.0,1997.0,1800.0,,450.0,950.0,62.0,8.8,78.0
Central College,IA,Iowa,Midwest,West North Central,private,1283.0,1113.0,170.0,86.75,401.0,31.0,65.0,1355.0,40.0,10938.0,10938.0,1638.0,2022.0,141.0,650.0,600.0,76.0,13.5,67.0
Clarke College,IA,Iowa,Midwest,West North Central,private,460.0,340.0,120.0,73.91,167.0,14.0,45.0,604.0,350.0,10740.0,10740.0,1838.0,1838.0,225.0,350.0,900.0,67.0,11.0,74.0
Coe College,IA,Iowa,Midwest,West North Central,private,1006.0,742.0,264.0,73.76,275.0,29.0,60.0,1127.0,205.0,13925.0,13925.0,2400.0,1990.0,125.0,500.0,2200.0,73.0,12.7,67.0
Cornell College,IA,Iowa,Midwest,West North Central,private,1538.0,1329.0,209.0,86.41,383.0,33.0,68.0,1140.0,10.0,15248.0,15248.0,1978.0,2345.0,125.0,550.0,800.0,71.0,12.2,64.0
Dordt College,IA,Iowa,Midwest,West North Central,private,604.0,562.0,42.0,93.05,328.0,25.0,50.0,1048.0,56.0,9800.0,9800.0,1200.0,1450.0,60.0,450.0,2800.0,61.0,12.5,87.0
Drake University,IA,Iowa,Midwest,West North Central,private,2799.0,2573.0,226.0,91.93,839.0,34.0,65.0,3322.0,726.0,13420.0,13420.0,2148.0,2422.0,,560.0,1675.0,88.0,15.0,77.0
Graceland College,IA,Iowa,Midwest,West North Central,private,555.0,414.0,141.0,74.59,242.0,14.0,41.0,996.0,2281.0,9100.0,9100.0,1130.0,1970.0,100.0,550.0,880.0,51.0,23.6,47.0
Grand View College,IA,Iowa,Midwest,West North Central,private,535.0,511.0,24.0,95.51,233.0,11.0,36.0,1098.0,380.0,9820.0,9820.0,2000.0,1360.0,50.0,570.0,2800.0,32.0,12.6,32.0
Grinnell College,IA,Iowa,Midwest,West North Central,private,2039.0,1389.0,650.0,68.12,432.0,56.0,91.0,1333.0,30.0,15688.0,15688.0,2120.0,2498.0,374.0,400.0,400.0,88.0,9.5,83.0
Iowa State University,IA,Iowa,Midwest,West North Central,public,8427.0,7424.0,1003.0,88.1,3441.0,26.0,59.0,18676.0,1715.0,2291.0,7550.0,3224.0,,162.0,640.0,2055.0,81.0,19.2,65.0
Iowa Wesleyan College,IA,Iowa,Midwest,West North Central,private,443.0,291.0,152.0,65.69,127.0,11.0,44.0,563.0,427.0,9850.0,9850.0,1900.0,1500.0,,500.0,,45.0,17.2,
Loras College,IA,Iowa,Midwest,West North Central,private,1641.0,1283.0,358.0,78.18,527.0,20.0,39.0,1663.0,170.0,11200.0,11200.0,,,,500.0,1200.0,61.0,14.2,70.0
Luther College,IA,Iowa,Midwest,West North Central,private,1549.0,1392.0,157.0,89.86,587.0,38.0,72.0,2269.0,85.0,13240.0,13240.0,1850.0,1710.0,,600.0,400.0,73.0,13.8,77.0
Teikyo Marycrest University,IA,Iowa,Midwest,West North Central,private,328.0,243.0,85.0,74.09,93.0,,,663.0,340.0,9980.0,9980.0,1500.0,2140.0,210.0,500.0,2980.0,44.0,12.3,69.0
Morningside College,IA,Iowa,Midwest,West North Central,private,586.0,533.0,53.0,90.96,239.0,16.0,36.0,950.0,228.0,10520.0,10520.0,1812.0,1866.0,181.0,500.0,1000.0,48.0,13.0,56.0
Mount Mercy College,IA,Iowa,Midwest,West North Central,private,368.0,317.0,51.0,86.14,159.0,20.0,49.0,806.0,542.0,10500.0,10500.0,2115.0,1440.0,100.0,500.0,2285.0,44.0,11.3,64.0
Mount Saint Clare College,IA,Iowa,Midwest,West North Central,private,325.0,284.0,41.0,87.38,95.0,16.0,33.0,364.0,88.0,9900.0,9900.0,1660.0,1990.0,80.0,500.0,1200.0,32.0,13.6,21.0
